,Company Name,Job Title,Location,Website URL
25,Freshworks,Principal Analyst - Marketing Analytics,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/principal-analyst-marketing-analytics-at-freshworks-3902570357?position=26&pageNum=0&refId=MQKTJUVz3xu3f78SPw1MFQ%3D%3D&trackingId=nzYBMrlBSSW1SvU0EON%2BjA%3D%3D&trk=public_jobs_jserp-result_search-card
26,Consulting Company,Data Analyst,India,https://in.linkedin.com/jobs/view/data-analyst-3903597168?position=27&pageNum=0&refId=MQKTJUVz3xu3f78SPw1MFQ%3D%3D&trackingId=K6%2Fd1nfLYJRJ3gwXTIjqGw%3D%3D&trk=public_jobs_jserp-result_search-card
27,CoinSwitch,Lead Data Analyst,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/lead-data-analyst-at-coinswitch-3862662011?position=28&pageNum=0&refId=MQKTJUVz3xu3f78SPw1MFQ%3D%3D&trackingId=cJvNairDm4e4P112kGIMEQ%3D%3D&trk=public_jobs_jserp-result_search-card
28,HP,Data Analyst/ Engineer,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-analyst-engineer-at-hp-3902718211?position=29&pageNum=0&refId=MQKTJUVz3xu3f78SPw1MFQ%3D%3D&trackingId=rucz4gCjsIL8CBvo8dj5KA%3D%3D&trk=public_jobs_jserp-result_search-card
29,TresVista,Analyst - Data Intelligence Group - Data Engineering - Bengaluru/Pune,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/analyst-data-intelligence-group-data-engineering-bengaluru-pune-at-tresvista-3898999272?position=30&pageNum=0&refId=MQKTJUVz3xu3f78SPw1MFQ%3D%3D&trackingId=7%2BVBuLs2G4Twr6h4q%2Bn40A%3D%3D&trk=public_jobs_jserp-result_search-card
30,Epsilon India,Senior Data Analyst,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/senior-data-analyst-at-epsilon-india-3902573344?position=31&pageNum=0&refId=MQKTJUVz3xu3f78SPw1MFQ%3D%3D&trackingId=sI02pvPew4X%2BXakMjQew4w%3D%3D&trk=public_jobs_jserp-result_search-card
31,"Quiktrak, LLC",Data Analyst,"Hyderabad, Telangana, India",https://in.linkedin.com/jobs/view/data-analyst-at-quiktrak-llc-3902661666?position=32&pageNum=0&refId=MQKTJUVz3xu3f78SPw1MFQ%3D%3D&trackingId=K%2FLy7jTwuj2czs%2FyF9SVUA%3D%3D&trk=public_jobs_jserp-result_search-card
32,L3Harris Technologies,Data Analyst,"Delhi, India",https://in.linkedin.com/jobs/view/data-analyst-at-l3harris-technologies-3902469571?position=33&pageNum=0&refId=MQKTJUVz3xu3f78SPw1MFQ%3D%3D&trackingId=wFS3%2BK7z%2B9Oc3%2FFK93ufkQ%3D%3D&trk=public_jobs_jserp-result_search-card
33,Target,Sr Data Analyst,"Bangalore Urban, Karnataka, India",https://in.linkedin.com/jobs/view/sr-data-analyst-at-target-3902342745?position=34&pageNum=0&refId=MQKTJUVz3xu3f78SPw1MFQ%3D%3D&trackingId=hf4IbVQpE7EIHOvhwrEvsA%3D%3D&trk=public_jobs_jserp-result_search-card
34,dentsu,Data Analyst,"Mumbai, Maharashtra, India",https://in.linkedin.com/jobs/view/data-analyst-at-dentsu-3902322540?position=35&pageNum=0&refId=MQKTJUVz3xu3f78SPw1MFQ%3D%3D&trackingId=iMocGZOvDzHgJUx9jJvPnA%3D%3D&trk=public_jobs_jserp-result_search-card
35,TekJobs,Data Analyst,India,https://in.linkedin.com/jobs/view/data-analyst-at-tekjobs-3901306998?position=36&pageNum=0&refId=MQKTJUVz3xu3f78SPw1MFQ%3D%3D&trackingId=zuDHtNxambG1AJp44kHAzA%3D%3D&trk=public_jobs_jserp-result_search-card
36,Responsive,Data Analyst (US Shift),"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-analyst-us-shift-at-responsive-3899098626?position=37&pageNum=0&refId=MQKTJUVz3xu3f78SPw1MFQ%3D%3D&trackingId=nGvXxaI9IieBykv8E0Io6g%3D%3D&trk=public_jobs_jserp-result_search-card
37,Peoplefy,Data Analytics,"Hyderabad, Telangana, India",https://in.linkedin.com/jobs/view/data-analytics-at-peoplefy-3902282485?position=38&pageNum=0&refId=MQKTJUVz3xu3f78SPw1MFQ%3D%3D&trackingId=pcfDwF2KssDya0uPMP2uug%3D%3D&trk=public_jobs_jserp-result_search-card
38,RiskInsight Consulting Pvt Ltd.,Data Analyst,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-analyst-at-riskinsight-consulting-pvt-ltd-3897977886?position=39&pageNum=0&refId=MQKTJUVz3xu3f78SPw1MFQ%3D%3D&trackingId=VwsgDBY2NfIDIvOBjeQ0hQ%3D%3D&trk=public_jobs_jserp-result_search-card
39,"Pinnacle Group, Inc.",Data Analyst,"Chennai, Tamil Nadu, India",https://in.linkedin.com/jobs/view/data-analyst-at-pinnacle-group-inc-3902560297?position=40&pageNum=0&refId=MQKTJUVz3xu3f78SPw1MFQ%3D%3D&trackingId=TJp7rf4O5Qx9bujd6wQmzQ%3D%3D&trk=public_jobs_jserp-result_search-card
40,Enphase Energy,Data Analyst,"Bengaluru East, Karnataka, India",https://in.linkedin.com/jobs/view/data-analyst-at-enphase-energy-3905646785?position=41&pageNum=0&refId=MQKTJUVz3xu3f78SPw1MFQ%3D%3D&trackingId=A%2FBNwM9aoZY7O0bF%2Fcv6wg%3D%3D&trk=public_jobs_jserp-result_search-card
41,Grazitti Interactive,Business/Data Analyst Analytics,"Panchkula, Haryana, India",https://in.linkedin.com/jobs/view/business-data-analyst-analytics-at-grazitti-interactive-3903870214?position=42&pageNum=0&refId=MQKTJUVz3xu3f78SPw1MFQ%3D%3D&trackingId=6jggxes71LvDFhMcv%2Bmj4w%3D%3D&trk=public_jobs_jserp-result_search-card
42,Luxoft,Senior Data Analyst,"Pune, Maharashtra, India",https://in.linkedin.com/jobs/view/senior-data-analyst-at-luxoft-3902661682?position=43&pageNum=0&refId=MQKTJUVz3xu3f78SPw1MFQ%3D%3D&trackingId=rf3yeJztaAW05qug7VB%2Fxw%3D%3D&trk=public_jobs_jserp-result_search-card
43,Razorpay,Data Analyst,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-analyst-at-razorpay-3904073958?position=44&pageNum=0&refId=MQKTJUVz3xu3f78SPw1MFQ%3D%3D&trackingId=y88JC48yfSqDQ5Kv9R8mcw%3D%3D&trk=public_jobs_jserp-result_search-card
44,DecisionTree Analytics & Services,Data Analyst,"Gurgaon, Haryana, India",https://in.linkedin.com/jobs/view/data-analyst-at-decisiontree-analytics-services-3903867340?position=45&pageNum=0&refId=MQKTJUVz3xu3f78SPw1MFQ%3D%3D&trackingId=kkqIgGaB%2Fe7YTODHvRwUuQ%3D%3D&trk=public_jobs_jserp-result_search-card
45,Egis in India,Data Analyst / Business Analyst,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-analyst-business-analyst-at-egis-in-india-3904081550?position=46&pageNum=0&refId=MQKTJUVz3xu3f78SPw1MFQ%3D%3D&trackingId=m5F2%2FFDHqAdyw0Ror%2B0q6A%3D%3D&trk=public_jobs_jserp-result_search-card
46,Gameskraft,Senior Data Analyst,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/senior-data-analyst-at-gameskraft-3897703825?position=47&pageNum=0&refId=MQKTJUVz3xu3f78SPw1MFQ%3D%3D&trackingId=%2FrsqUJ0U5VCCjzOHAer3cw%3D%3D&trk=public_jobs_jserp-result_search-card
47,Brillio,Lead Data Analyst,Greater Bengaluru Area,https://in.linkedin.com/jobs/view/lead-data-analyst-at-brillio-3898787813?position=48&pageNum=0&refId=MQKTJUVz3xu3f78SPw1MFQ%3D%3D&trackingId=eggBbXXsNLo2UB136cO2uw%3D%3D&trk=public_jobs_jserp-result_search-card
48,DataZymes,Senior Analyst -Analytics (Power BI),"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/senior-analyst-analytics-power-bi-at-datazymes-3901759352?position=49&pageNum=0&refId=MQKTJUVz3xu3f78SPw1MFQ%3D%3D&trackingId=Wpvcrz7u%2BntdoFJ13DaRRA%3D%3D&trk=public_jobs_jserp-result_search-card
49,Amber,Data Analyst,"Pune, Maharashtra, India",https://in.linkedin.com/jobs/view/data-analyst-at-amber-3905612087?position=50&pageNum=0&refId=MQKTJUVz3xu3f78SPw1MFQ%3D%3D&trackingId=Rqf62fs15Q0XBkR4HQZmjQ%3D%3D&trk=public_jobs_jserp-result_search-card
50,Tatvic ®,Data Analyst,"Ahmedabad, Gujarat, India",https://in.linkedin.com/jobs/view/data-analyst-at-tatvic-%C2%AE-3903785529?position=51&pageNum=0&refId=MQKTJUVz3xu3f78SPw1MFQ%3D%3D&trackingId=u1W2nN5r0mmm3cbDc%2BL4eA%3D%3D&trk=public_jobs_jserp-result_search-card
51,ConTecHub,Data Analyst,"Jaipur, Rajasthan, India",https://in.linkedin.com/jobs/view/data-analyst-at-contechub-3230881779?position=52&pageNum=0&refId=MQKTJUVz3xu3f78SPw1MFQ%3D%3D&trackingId=oDj6E0PKyElo1rGRjFvsEg%3D%3D&trk=public_jobs_jserp-result_search-card
52,Michelin,Data Analyst_2,"Pune, Maharashtra, India",https://in.linkedin.com/jobs/view/data-analyst-2-at-michelin-3898550276?position=53&pageNum=0&refId=MQKTJUVz3xu3f78SPw1MFQ%3D%3D&trackingId=IYx2dwW0%2FpljBXEFq0oqRg%3D%3D&trk=public_jobs_jserp-result_search-card
53,NOV,Data Analyst,"Navi Mumbai, Maharashtra, India",https://in.linkedin.com/jobs/view/data-analyst-at-nov-3901194729?position=54&pageNum=0&refId=MQKTJUVz3xu3f78SPw1MFQ%3D%3D&trackingId=pTIFmheXY19eFeb2n%2F95zA%3D%3D&trk=public_jobs_jserp-result_search-card
54,Viacom18 Media Private Limited,Data Analyst,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-analyst-at-viacom18-media-private-limited-3903087707?position=55&pageNum=0&refId=MQKTJUVz3xu3f78SPw1MFQ%3D%3D&trackingId=wtD%2BRzsoWYJ%2F4VZXklCDQQ%3D%3D&trk=public_jobs_jserp-result_search-card
55,Idyllic Services Pvt. Ltd.,Data Analyst-PySpark,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-analyst-pyspark-at-idyllic-services-pvt-ltd-3899094258?position=56&pageNum=0&refId=MQKTJUVz3xu3f78SPw1MFQ%3D%3D&trackingId=Lz3PT7ggLK2LEmhb7kSvmA%3D%3D&trk=public_jobs_jserp-result_search-card
56,NTT DATA North America,"Data Analyst, Tableau","Bengaluru East, Karnataka, India",https://in.linkedin.com/jobs/view/data-analyst-tableau-at-ntt-data-north-america-3903982952?position=57&pageNum=0&refId=MQKTJUVz3xu3f78SPw1MFQ%3D%3D&trackingId=W7s2suqsXgWYD6NOWthJ5Q%3D%3D&trk=public_jobs_jserp-result_search-card
57,SmartQ,Data Analyst,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-analyst-at-smartq-3904858028?position=58&pageNum=0&refId=MQKTJUVz3xu3f78SPw1MFQ%3D%3D&trackingId=eriFsRK1QgHVIrfv0UU3Nw%3D%3D&trk=public_jobs_jserp-result_search-card
